"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.0588897675946","75.2831334824117","75.444925695484","75.6517164006083","75.7136468925611","75.5121120219682","75.5454629520988","75.5573311772543","75.574994675948","75.6767418790786","75.6798545208306","75.8317045519086","76.0226011590141","76.0216439270695","76.1716750707541","76.0888977952596","75.6989520372428","75.4166280308873","75.5685836368783","75.8466616988669","75.1486886979696","74.7024798446197","74.2731663019465","73.78663271932","73.4359821718354","73.3597075799322","73.1840188265923","72.9836350619501","72.9810286887314","74.104668120785","73.8913312566818","",
"Afghanistan","AFG","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.79327","92.74599","92.67295","92.63347","92.58691","92.55559","92.48339","92.40517","92.31226","92.19816","92.06179","92.09408","91.99947","91.83777","91.72083","91.54171","91.38989","91.08027","90.46854","89.79165","88.87564","88.07008","87.09895","86.01729","84.84682","83.63508","82.45041","82.78704","83.17302","84.33395","","",
"Africa Western and Central","AFW","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.8082335656559","85.8151636742132","85.878501334208","85.8824299880623","85.89161050208","85.8243453168928","85.6629165285466","85.4941069236534","85.3664672092509","85.2010015148743","84.9296294251518","84.6549134006128","84.4537734006233","84.1719218693128","83.9278855893527","83.6643180697965","83.429748397336","83.1010769016122","82.77115467792","82.3481531260653","82.0416706636724","81.8706550771484","81.981383552496","81.7049283093396","81.3967392775508","81.1169535219211","80.787378270288","80.3418513884369","79.7979630752761","81.2175905125898","80.8118735863368","",
"Angola","AGO","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.90433","63.00621","63.56104","64.02597","64.25743","64.19424","64.0873","63.96013","63.8135","63.83563","64.00182","63.7994","64.01463","64.08075","64.86628","65.8515","66.56773","67.34651","68.98878","70.50878","71.89813","68.96505","66.20591","63.33441","63.10598","63.3159","63.61942","64.10494","64.71666","66.26393","65.85219","",
"Albania","ALB","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.39864","65.08965","65.42902","65.54845","65.25574","64.75121","65.08923","64.88745","64.23538","63.54927","62.53649","61.75338","60.91959","60.03811","59.52432","58.4768","58.09601","60.17074","57.92355","56.70159","61.07844","63.06002","59.5182","57.92618","58.8124","58.60423","57.09852","55.48088","54.26823","54.17133","53.04549","",
"Andorra","AND","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.3919455295131","41.0897935004942","40.9575430448023","40.696724865151","40.5455805844407","40.0679220420058","39.6247461143441","39.4804710724924","39.1933596931041","39.2704277302823","38.7126794190085","38.8023326022992","39.0592625752377","39.3914747377657","38.1487921123679","36.6750697110788","36.999978573572","35.6654375545281","35.1626047349459","34.1764827378725","34.0284250099689","33.1134418899464","32.9835572660927","32.822149835975","32.1069861993925","30.0741943911469","30.311564157989","29.9518383231496","29.4642971947007","29.4607297127776","29.4049675514175","",
"United Arab Emirates","ARE","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.336733","3.329365","3.328769","3.328585","3.319946","3.298191","3.282237","3.287046","3.257029","3.196719","3.188554","3.182418","3.164339","3.130883","3.067684","3.283247","3.664261","4.184415","4.045908","3.818722","3.601209","3.418663","3.288213","3.142447","3.057775","2.94258","3.471449","3.973917","4.939779","4.909353","5.145215","",
"Argentina","ARG","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.73513","29.8487","31.20016","29.78862","29.35588","29.19931","28.25191","27.84968","27.56029","27.60709","28.18018","28.33186","26.30636","25.61694","25.2513","24.3523","23.64322","23.68281","24.04349","23.55724","23.09704","22.99516","23.54743","23.65348","24.14722","24.80215","25.33999","25.52883","26.50717","26.99999","28.60184","",
